题目,出现次数,链接,分类
165. 比较版本号,3,https://leetcode-cn.com/problems/compare-version-numbers,其他
887. 鸡蛋掉落,3,https://leetcode-cn.com/problems/super-egg-drop,其他
106. 从中序与后序遍历序列构造二叉树,3,https://leetcode-cn.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,树
498. 对角线遍历,3,https://leetcode-cn.com/problems/diagonal-traverse,其他
354. 俄罗斯套娃信封问题,3,https://leetcode-cn.com/problems/russian-doll-envelopes,其他
767. 重构字符串,3,https://leetcode-cn.com/problems/reorganize-string,字符串
1254. 统计封闭岛屿的数目,2,https://leetcode-cn.com/problems/number-of-closed-islands,数学
347. 前 K 个高频元素,2,https://leetcode-cn.com/problems/top-k-frequent-elements,其他
剑指 Offer 10- II. 青蛙跳台阶问题,2,https://leetcode-cn.com/problems/qing-wa-tiao-tai-jie-wen-ti-lcof,其他
剑指 Offer 45. 把数组排成最小的数,2,https://leetcode-cn.com/problems/ba-shu-zu-pai-cheng-zui-xiao-de-shu-lcof,数组
99. 恢复二叉搜索树,2,https://leetcode-cn.com/problems/recover-binary-search-tree,树
125. 验证回文串,2,https://leetcode-cn.com/problems/valid-palindrome,其他
剑指 Offer 21. 调整数组顺序使奇数位于偶数前面,2,https://leetcode-cn.com/problems/diao-zheng-shu-zu-shun-xu-shi-qi-shu-wei-yu-ou-shu-qian-mian-lcof,数组
523. 连续的子数组和,2,https://leetcode-cn.com/problems/continuous-subarray-sum,数组
剑指 Offer 48. 最长不含重复字符的子字符串,2,https://leetcode-cn.com/problems/zui-chang-bu-han-zhong-fu-zi-fu-de-zi-zi-fu-chuan-lcof,字符串
剑指 Offer 04. 二维数组中的查找,2,https://leetcode-cn.com/problems/er-wei-shu-zu-zhong-de-cha-zhao-lcof,数组
补充题24. 双栈排序,2,https://mp.weixin.qq.com/s/g_AqwsSEUwlRSevnStPkEA,栈与队列
208. 实现 Trie (前缀树),2,https://leetcode-cn.com/problems/implement-trie-prefix-tree,树
剑指 Offer 19. 正则表达式匹配,2,https://leetcode-cn.com/problems/zheng-ze-biao-da-shi-pi-pei-lcof,其他
895. 最大频率栈,2,https://leetcode-cn.com/problems/maximum-frequency-stack,栈与队列
398. 随机数索引,2,https://leetcode-cn.com/problems/random-pick-index,数学
45. 跳跃游戏 II,2,https://leetcode-cn.com/problems/jump-game-ii,其他
416. 分割等和子集,2,https://leetcode-cn.com/problems/partition-equal-subset-sum,其他
668. 乘法表中第k小的数,2,https://leetcode-cn.com/problems/kth-smallest-number-in-multiplication-table,数学
120. 三角形最小路径和,2,https://leetcode-cn.com/problems/triangle,动态规划
123. 买卖股票的最佳时机 III,2,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iii,动态规划
154. 寻找旋转排序数组中的最小值 II,2,https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array-ii,数组
147. 对链表进行插入排序,2,https://leetcode-cn.com/problems/insertion-sort-list,链表
785. 判断二分图,2,https://leetcode-cn.com/problems/is-graph-bipartite,图
468. 验证IP地址,2,https://leetcode-cn.com/problems/validate-ip-address,其他
295. 数据流的中位数,2,https://leetcode-cn.com/problems/find-median-from-data-stream,数学
404. 左叶子之和,2,https://leetcode-cn.com/problems/sum-of-left-leaves,其他
84. 柱状图中最大的矩形,2,https://leetcode-cn.com/problems/largest-rectangle-in-histogram,图
43. 字符串相乘,2,https://leetcode-cn.com/problems/multiply-strings,字符串
14. 最长公共前缀,2,https://leetcode-cn.com/problems/longest-common-prefix,其他
974. 和可被 K 整除的子数组,2,https://leetcode-cn.com/problems/subarray-sums-divisible-by-k,数组
922. 按奇偶排序数组 II,2,https://leetcode-cn.com/problems/sort-array-by-parity-ii,数组
75. 颜色分类,2,https://leetcode-cn.com/problems/sort-colors,其他
191. 位1的个数,2,https://leetcode-cn.com/problems/number-of-1-bits,数学
60. 第k个排列,2,https://leetcode-cn.com/problems/permutation-sequence,其他
补充题10. 36进制减法,2,https://mp.weixin.qq.com/s/ub9GpTBjDF55hZld3V2rEA,其他
补充题5. 手撕归并排序,2,https://leetcode-cn.com/problems/sort-an-array,其他
189. 旋转数组,2,https://leetcode-cn.com/problems/rotate-array,数组
74. 搜索二维矩阵,2,https://leetcode-cn.com/problems/search-a-2d-matrix,其他
补充题14. 阿拉伯数字转中文数字,2,,数学
剑指 Offer 03. 数组中重复的数字,2,https://leetcode-cn.com/problems/shu-zu-zhong-zhong-fu-de-shu-zi-lcof,数组
253. 会议室 II,2,https://leetcode-cn.com/problems/meeting-rooms-ii,其他
7. 整数反转,2,https://leetcode-cn.com/problems/reverse-integer,数学
47. 全排列 II,2,https://leetcode-cn.com/problems/permutations-ii,其他
85. 最大矩形,2,https://leetcode-cn.com/problems/maximal-rectangle,其他
81. 搜索旋转排序数组 II,2,https://leetcode-cn.com/problems/search-in-rotated-sorted-array-ii,数组
44. 通配符匹配,2,https://leetcode-cn.com/problems/wildcard-matching,其他
703. 数据流中的第K大元素,2,https://leetcode-cn.com/problems/kth-largest-element-in-a-stream,数学
443. 压缩字符串,2,https://leetcode-cn.com/problems/string-compression,字符串
